candidate_id,rank,final_score,semantic_score,title_score,career_score,assessment_score,skill_trust_score,retrieval_score,behavioral_multiplier,reasoning
CAND_0081686,1,0.924575,92.4575,35.0000,24.0741,12.8850,9.1543,11.3442,1.1500,Search Engineer | 6.0 yrs exp | 3 AI role(s) in career | assess=12.9 | resp_rate=0.91 | mult=1.150
CAND_0000031,2,0.913180,91.3180,35.0000,25.0000,9.9069,8.6687,12.7424,1.1500,Recommendation Systems Engineer | 6.0 yrs exp | 4 AI role(s) in career | assess=9.9 | resp_rate=0.91 | mult=1.150
CAND_0041669,3,0.911679,91.1679,35.0000,24.0741,12.5550,8.3534,11.1854,1.1500,Recommendation Systems Engineer | 8.0 yrs exp | 3 AI role(s) in career | assess=12.6 | resp_rate=0.77 | mult=1.150
CAND_0039754,4,0.903298,90.3298,35.0000,24.0741,13.2179,9.2564,8.7815,1.1500,Senior Applied Scientist | 16.2 yrs exp | 3 AI role(s) in career | assess=13.2 | resp_rate=0.81 | mult=1.150
CAND_0084819,5,0.897213,89.7213,35.0000,21.1216,13.4100,9.2180,10.9717,1.1500,Search Engineer | 4.5 yrs exp | 2 AI role(s) in career | assess=13.4 | resp_rate=0.74 | mult=1.150
CAND_0071974,6,0.888954,88.8954,35.0000,24.0741,12.8400,8.7313,8.2500,1.1500,Senior AI Engineer | 7.8 yrs exp | 3 AI role(s) in career | assess=12.8 | resp_rate=0.76 | mult=1.150
CAND_0018549,7,0.887700,88.7700,35.0000,23.1481,9.7350,9.1979,11.6890,1.1500,Recommendation Systems Engineer | 6.8 yrs exp | 2 AI role(s) in career | assess=9.7 | resp_rate=0.73 | mult=1.150
CAND_0088025,8,0.886324,88.6324,35.0000,24.0741,14.0400,8.4272,7.0911,1.1500,Staff Machine Learning Engineer | 8.6 yrs exp | 3 AI role(s) in career | assess=14.0 | resp_rate=0.83 | mult=1.150
CAND_0050876,9,0.879854,87.9854,35.0000,24.0741,12.1650,8.9809,7.7655,1.1500,Applied ML Engineer | 6.0 yrs exp | 3 AI role(s) in career | assess=12.2 | resp_rate=0.67 | mult=1.150
CAND_0042506,10,0.877413,87.7413,35.0000,23.1481,10.3350,9.3070,9.9511,1.1500,Search Engineer | 4.2 yrs exp | 2 AI role(s) in career | assess=10.3 | resp_rate=0.48 | mult=1.150
CAND_0046525,11,0.875151,87.5151,35.0000,23.1481,14.4750,8.5212,6.3708,1.1500,Senior Machine Learning Engineer | 6.1 yrs exp | 2 AI role(s) in career | assess=14.5 | resp_rate=0.88 | mult=1.150
