candidate_id,rank,final_score,semantic_score,title_score,career_score,assessment_score,skill_trust_score,retrieval_score,behavioral_multiplier,reasoning
CAND_0081686,1,0.924575,92.4575,35.0000,24.0741,12.8850,9.1543,11.3442,1.1500,Search Engineer | 6.0 yrs exp | 3 AI role(s) in career | assess=12.9 | resp_rate=0.91 | mult=1.150
CAND_0000031,2,0.912072,91.2072,35.0000,25.0000,9.7961,8.6687,12.7424,1.1500,Recommendation Systems Engineer | 6.0 yrs exp | 4 AI role(s) in career | assess=9.8 | resp_rate=0.91 | mult=1.150
CAND_0041669,3,0.911679,91.1679,35.0000,24.0741,12.5550,8.3534,11.1854,1.1500,Recommendation Systems Engineer | 8.0 yrs exp | 3 AI role(s) in career | assess=12.6 | resp_rate=0.77 | mult=1.150
CAND_0084819,4,0.897213,89.7213,35.0000,21.1216,13.4100,9.2180,10.9717,1.1500,Search Engineer | 4.5 yrs exp | 2 AI role(s) in career | assess=13.4 | resp_rate=0.74 | mult=1.150
CAND_0018499,5,0.891493,89.1493,35.0000,24.0741,12.2100,9.2152,8.6500,1.1500,Senior Machine Learning Engineer | 7.2 yrs exp | 3 AI role(s) in career | assess=12.2 | resp_rate=0.61 | mult=1.150
CAND_0039754,6,0.887453,88.7453,35.0000,24.0741,11.6333,9.2564,8.7815,1.1500,Senior Applied Scientist | 16.2 yrs exp | 3 AI role(s) in career | assess=11.6 | resp_rate=0.81 | mult=1.150
CAND_0088025,7,0.886324,88.6324,35.0000,24.0741,14.0400,8.4272,7.0911,1.1500,Staff Machine Learning Engineer | 8.6 yrs exp | 3 AI role(s) in career | assess=14.0 | resp_rate=0.83 | mult=1.150
CAND_0018549,8,0.884637,88.4637,35.0000,23.1481,9.4288,9.1979,11.6890,1.1500,Recommendation Systems Engineer | 6.8 yrs exp | 2 AI role(s) in career | assess=9.4 | resp_rate=0.73 | mult=1.150
CAND_0061265,9,0.879613,87.9613,35.0000,20.8099,11.7788,9.2325,11.1401,1.1500,Recommendation Systems Engineer | 6.6 yrs exp | 3 AI role(s) in career | assess=11.8 | resp_rate=0.94 | mult=1.150
CAND_0042506,10,0.877413,87.7413,35.0000,23.1481,10.3350,9.3070,9.9511,1.1500,Search Engineer | 4.2 yrs exp | 2 AI role(s) in career | assess=10.3 | resp_rate=0.48 | mult=1.150
CAND_0071974,11,0.875708,87.5708,35.0000,24.0741,11.5154,8.7313,8.2500,1.1500,Senior AI Engineer | 7.8 yrs exp | 3 AI role(s) in career | assess=11.5 | resp_rate=0.76 | mult=1.150
CAND_0046525,12,0.875151,87.5151,35.0000,23.1481,14.4750,8.5212,6.3708,1.1500,Senior Machine Learning Engineer | 6.1 yrs exp | 2 AI role(s) in career | assess=14.5 | resp_rate=0.88 | mult=1.150
CAND_0079387,13,0.873581,87.3581,35.0000,25.0000,12.6600,9.0919,5.6062,1.1500,AI Engineer | 6.9 yrs exp | 4 AI role(s) in career | assess=12.7 | resp_rate=0.81 | mult=1.150
CAND_0049538,14,0.871067,87.1067,35.0000,24.0741,11.9074,8.9550,7.1703,1.1500,Applied ML Engineer | 5.8 yrs exp | 3 AI role(s) in career | assess=11.9 | resp_rate=0.72 | mult=1.150
CAND_0066999,15,0.866691,86.6691,35.0000,21.3165,11.9312,7.2714,11.1500,1.1500,Recommendation Systems Engineer | 5.9 yrs exp | 2 AI role(s) in career | assess=11.9 | resp_rate=0.63 | mult=1.150
CAND_0026532,16,0.866677,91.4566,35.0000,23.1481,13.5750,8.0732,11.6603,1.0898,Recommendation Systems Engineer | 4.8 yrs exp | 2 AI role(s) in career | assess=13.6 | resp_rate=0.52 | mult=1.090
CAND_0080766,17,0.865553,87.2674,35.0000,25.0000,12.6750,8.8332,5.7592,1.1406,Staff Machine Learning Engineer | 8.8 yrs exp | 4 AI role(s) in career | assess=12.7 | resp_rate=0.66 | mult=1.141
CAND_0050876,18,0.865299,86.5299,35.0000,24.0741,10.7095,8.9809,7.7655,1.1500,Applied ML Engineer | 6.0 yrs exp | 3 AI role(s) in career | assess=10.7 | resp_rate=0.67 | mult=1.150
CAND_0053591,19,0.860154,86.0154,35.0000,23.1481,13.5150,8.4023,5.9500,1.1500,AI Engineer | 5.3 yrs exp | 2 AI role(s) in career | assess=13.5 | resp_rate=0.81 | mult=1.150
CAND_0020708,20,0.859577,85.9577,35.0000,22.2222,9.6600,9.1271,9.9484,1.1500,Search Engineer | 4.2 yrs exp | 1 AI role(s) in career | assess=9.7 | resp_rate=0.84 | mult=1.150
CAND_0013536,21,0.859033,85.9033,35.0000,23.1481,10.3200,9.3498,8.0853,1.1500,Applied ML Engineer | 14.1 yrs exp | 2 AI role(s) in career | assess=10.3 | resp_rate=0.87 | mult=1.150
CAND_0086022,22,0.857673,85.7673,35.0000,23.1481,11.8853,9.2502,6.4837,1.1500,Senior Applied Scientist | 5.3 yrs exp | 2 AI role(s) in career | assess=11.9 | resp_rate=0.55 | mult=1.150
CAND_0027801,23,0.856999,87.8519,35.0000,24.0741,12.2250,9.2407,7.3121,1.1218,NLP Engineer | 7.4 yrs exp | 3 AI role(s) in career | assess=12.2 | resp_rate=0.65 | mult=1.122
CAND_0036184,24,0.855584,85.5584,35.0000,23.1481,8.2740,8.7301,10.4062,1.1500,Recommendation Systems Engineer | 6.0 yrs exp | 2 AI role(s) in career | assess=8.3 | resp_rate=0.90 | mult=1.150
CAND_0055992,25,0.855248,85.5248,35.0000,23.9707,9.1863,9.2742,8.0936,1.1500,AI Engineer | 16.9 yrs exp | 4 AI role(s) in career | assess=9.2 | resp_rate=0.72 | mult=1.150
CAND_0037000,26,0.852294,86.3848,35.0000,24.0741,7.6650,8.5231,11.1226,1.1346,Search Engineer | 2.7 yrs exp | 3 AI role(s) in career | assess=7.7 | resp_rate=0.61 | mult=1.135
CAND_0086151,27,0.850396,92.0971,35.0000,24.0741,10.8942,8.6788,13.4500,1.0619,Recommendation Systems Engineer | 7.7 yrs exp | 3 AI role(s) in career | assess=10.9 | resp_rate=0.52 | mult=1.062
CAND_0016163,28,0.847321,84.7321,35.0000,24.0741,13.2450,8.6650,3.7480,1.1500,Applied ML Engineer | 6.7 yrs exp | 3 AI role(s) in career | assess=13.2 | resp_rate=0.72 | mult=1.150
CAND_0009024,29,0.845302,89.1187,35.0000,23.1481,12.5448,8.8555,9.5703,1.0908,Search Engineer | 5.2 yrs exp | 2 AI role(s) in career | assess=12.5 | resp_rate=0.46 | mult=1.091
CAND_0081846,30,0.842919,84.2919,35.0000,23.1481,9.4350,8.6088,8.1000,1.1500,Lead AI Engineer | 6.7 yrs exp | 2 AI role(s) in career | assess=9.4 | resp_rate=0.73 | mult=1.150
CAND_0075249,31,0.841866,84.1866,35.0000,23.1481,8.4027,9.1922,8.4435,1.1500,Applied ML Engineer | 6.2 yrs exp | 2 AI role(s) in career | assess=8.4 | resp_rate=0.82 | mult=1.150
CAND_0041568,32,0.841483,89.0384,35.0000,22.7645,11.0603,9.2958,10.9178,1.0868,Search Engineer | 5.2 yrs exp | 3 AI role(s) in career | assess=11.1 | resp_rate=0.52 | mult=1.087
CAND_0096142,33,0.840914,84.0914,35.0000,23.1481,12.5775,8.8450,4.5207,1.1500,Applied ML Engineer | 5.0 yrs exp | 2 AI role(s) in career | assess=12.6 | resp_rate=0.84 | mult=1.150
CAND_0088378,34,0.840772,84.0772,35.0000,21.8070,12.5700,7.4642,7.2359,1.1500,AI Research Engineer | 6.0 yrs exp | 4 AI role(s) in career | assess=12.6 | resp_rate=0.58 | mult=1.150
CAND_0043381,35,0.838093,83.8093,35.0000,22.2222,11.2200,7.1598,8.2073,1.1500,AI Research Engineer | 3.6 yrs exp | 1 AI role(s) in career | assess=11.2 | resp_rate=0.78 | mult=1.150
CAND_0043312,36,0.837472,83.7472,35.0000,22.2222,13.1250,7.5810,5.8190,1.1500,AI Research Engineer | 4.2 yrs exp | 1 AI role(s) in career | assess=13.1 | resp_rate=0.73 | mult=1.150
CAND_0093331,37,0.837351,84.7715,35.0000,24.0741,10.5600,9.0969,6.0406,1.1359,NLP Engineer | 16.1 yrs exp | 3 AI role(s) in career | assess=10.6 | resp_rate=0.41 | mult=1.136
CAND_0057563,38,0.837256,83.7256,35.0000,22.5414,12.0900,9.0504,5.0438,1.1500,NLP Engineer | 6.8 yrs exp | 3 AI role(s) in career | assess=12.1 | resp_rate=0.83 | mult=1.150
CAND_0075574,39,0.834948,84.1237,35.0000,24.0741,9.4081,9.2702,6.3713,1.1414,Machine Learning Engineer | 5.7 yrs exp | 3 AI role(s) in career | assess=9.4 | resp_rate=0.58 | mult=1.141
CAND_0054318,40,0.833637,83.3637,35.0000,22.2222,11.4150,8.2795,6.4471,1.1500,AI Research Engineer | 3.5 yrs exp | 1 AI role(s) in career | assess=11.4 | resp_rate=0.87 | mult=1.150
CAND_0005260,41,0.833614,83.3614,35.0000,23.1481,12.1350,8.5634,4.5149,1.1500,Senior NLP Engineer | 5.2 yrs exp | 2 AI role(s) in career | assess=12.1 | resp_rate=0.86 | mult=1.150
CAND_0095619,42,0.832776,83.2776,35.0000,22.2222,11.0128,8.8925,6.1500,1.1500,NLP Engineer | 15.6 yrs exp | 1 AI role(s) in career | assess=11.0 | resp_rate=0.90 | mult=1.150
CAND_0043228,43,0.832557,87.5824,35.0000,24.0741,12.4500,8.6397,7.4186,1.0932,Applied ML Engineer | 6.8 yrs exp | 3 AI role(s) in career | assess=12.4 | resp_rate=0.41 | mult=1.093
CAND_0007412,44,0.832281,84.0606,35.0000,25.0000,7.5150,8.8413,7.7044,1.1386,Applied ML Engineer | 7.4 yrs exp | 5 AI role(s) in career | assess=7.5 | resp_rate=0.76 | mult=1.139
CAND_0027691,45,0.831806,83.1806,35.0000,24.0741,9.9216,9.1772,5.0078,1.1500,NLP Engineer | 6.5 yrs exp | 3 AI role(s) in career | assess=9.9 | resp_rate=0.68 | mult=1.150
CAND_0010541,46,0.830041,83.5561,35.0000,23.1481,9.0900,7.0166,9.3013,1.1424,AI Research Engineer | 6.2 yrs exp | 2 AI role(s) in career | assess=9.1 | resp_rate=0.59 | mult=1.142
CAND_0020350,47,0.829294,82.9294,35.0000,23.1481,13.1100,9.2439,2.4273,1.1500,AI Engineer | 5.8 yrs exp | 2 AI role(s) in career | assess=13.1 | resp_rate=0.58 | mult=1.150
CAND_0076251,48,0.828470,84.7936,35.0000,22.2353,10.9513,7.8014,8.8057,1.1236,Search Engineer | 7.6 yrs exp | 3 AI role(s) in career | assess=11.0 | resp_rate=0.51 | mult=1.124
CAND_0070333,49,0.826541,85.3374,35.0000,20.9995,11.7150,8.1655,9.4573,1.1138,AI Research Engineer | 4.7 yrs exp | 2 AI role(s) in career | assess=11.7 | resp_rate=0.48 | mult=1.114
CAND_0012957,50,0.825010,87.5347,35.0000,23.1481,10.9331,8.5559,9.8975,1.0839,Search Engineer | 4.9 yrs exp | 2 AI role(s) in career | assess=10.9 | resp_rate=0.67 | mult=1.084
CAND_0037566,51,0.825010,82.5010,35.0000,23.1481,12.3600,9.1629,2.8300,1.1500,Machine Learning Engineer | 6.9 yrs exp | 2 AI role(s) in career | assess=12.4 | resp_rate=0.50 | mult=1.150
CAND_0039383,52,0.824418,82.4418,35.0000,24.0741,9.5775,8.7974,4.9928,1.1500,Applied ML Engineer | 7.1 yrs exp | 3 AI role(s) in career | assess=9.6 | resp_rate=0.61 | mult=1.150
CAND_0030031,53,0.823262,82.3262,35.0000,22.3555,9.5250,9.0845,6.3612,1.1500,AI Engineer | 5.7 yrs exp | 3 AI role(s) in career | assess=9.5 | resp_rate=0.94 | mult=1.150
CAND_0016432,54,0.823249,83.3861,35.0000,23.1481,11.0700,7.6049,6.5630,1.1354,AI Research Engineer | 4.6 yrs exp | 2 AI role(s) in career | assess=11.1 | resp_rate=0.60 | mult=1.135
CAND_0025640,55,0.821903,82.1903,35.0000,21.2691,11.2350,6.0452,8.6410,1.1500,AI Research Engineer | 5.6 yrs exp | 2 AI role(s) in career | assess=11.2 | resp_rate=0.87 | mult=1.150
CAND_0076163,56,0.821689,82.1689,35.0000,23.1481,10.0375,7.9472,6.0361,1.1500,NLP Engineer | 6.9 yrs exp | 2 AI role(s) in career | assess=10.0 | resp_rate=0.84 | mult=1.150
CAND_0009691,57,0.820242,83.7704,35.0000,24.0741,9.5173,9.3108,5.8683,1.1260,Applied ML Engineer | 6.2 yrs exp | 3 AI role(s) in career | assess=9.5 | resp_rate=0.64 | mult=1.126
CAND_0096801,58,0.819264,83.1557,35.0000,23.1481,9.8469,8.2133,6.9474,1.1330,AI Research Engineer | 4.2 yrs exp | 2 AI role(s) in career | assess=9.8 | resp_rate=0.57 | mult=1.133
CAND_0064904,59,0.817792,81.7792,35.0000,23.1481,10.4700,8.4571,4.7039,1.1500,AI Engineer | 4.9 yrs exp | 2 AI role(s) in career | assess=10.5 | resp_rate=0.78 | mult=1.150
CAND_0057701,60,0.816820,86.1456,35.0000,22.2222,11.0160,8.6462,9.2612,1.0904,Recommendation Systems Engineer | 4.1 yrs exp | 1 AI role(s) in career | assess=11.0 | resp_rate=0.56 | mult=1.090
CAND_0001940,61,0.816443,83.4542,35.0000,23.1481,11.2996,7.5181,6.4883,1.1251,AI Research Engineer | 4.3 yrs exp | 2 AI role(s) in career | assess=11.3 | resp_rate=0.87 | mult=1.125
CAND_0074317,62,0.815442,81.5442,35.0000,23.1481,10.0800,6.7486,6.5675,1.1500,AI Research Engineer | 4.2 yrs exp | 2 AI role(s) in career | assess=10.1 | resp_rate=0.86 | mult=1.150
CAND_0079284,63,0.815076,81.5076,35.0000,23.1481,10.3350,9.2799,3.7445,1.1500,Machine Learning Engineer | 4.9 yrs exp | 2 AI role(s) in career | assess=10.3 | resp_rate=0.79 | mult=1.150
CAND_0006557,64,0.813757,87.2707,35.0000,23.1481,11.3700,9.1525,8.6000,1.0723,NLP Engineer | 7.9 yrs exp | 2 AI role(s) in career | assess=11.4 | resp_rate=0.63 | mult=1.072
CAND_0054123,65,0.813637,81.3637,35.0000,23.1481,9.5250,9.2260,4.4646,1.1500,Applied ML Engineer | 4.7 yrs exp | 2 AI role(s) in career | assess=9.5 | resp_rate=0.87 | mult=1.150
CAND_0087364,66,0.812422,87.8027,35.0000,23.1481,10.0912,8.9660,10.5974,1.0641,Recommendation Systems Engineer | 4.9 yrs exp | 2 AI role(s) in career | assess=10.1 | resp_rate=0.48 | mult=1.064
CAND_0013613,67,0.809236,80.9236,35.0000,22.0862,9.3300,9.3889,5.1185,1.1500,Machine Learning Engineer | 4.7 yrs exp | 3 AI role(s) in career | assess=9.3 | resp_rate=0.73 | mult=1.150
CAND_0043829,68,0.807336,80.7336,35.0000,22.2222,9.9000,6.3161,7.2953,1.1500,AI Research Engineer | 4.8 yrs exp | 1 AI role(s) in career | assess=9.9 | resp_rate=0.78 | mult=1.150
CAND_0071115,69,0.806827,86.2917,35.0000,23.1481,12.8100,7.6970,7.6366,1.0752,Recommendation Systems Engineer | 16.5 yrs exp | 2 AI role(s) in career | assess=12.8 | resp_rate=0.50 | mult=1.075
CAND_0061352,70,0.806380,81.7184,35.0000,23.1481,13.1550,7.3633,3.0519,1.1348,ML Engineer | 3.5 yrs exp | 2 AI role(s) in career | assess=13.2 | resp_rate=0.66 | mult=1.135
CAND_0017590,71,0.805661,81.6453,35.0000,21.8438,9.4500,7.8700,7.4814,1.1348,AI Research Engineer | 5.1 yrs exp | 2 AI role(s) in career | assess=9.4 | resp_rate=0.56 | mult=1.135
CAND_0016659,72,0.805104,80.5104,35.0000,23.1481,10.3500,7.1090,4.9032,1.1500,ML Engineer | 4.4 yrs exp | 2 AI role(s) in career | assess=10.3 | resp_rate=0.89 | mult=1.150
CAND_0040887,73,0.804635,80.4635,35.0000,23.1481,10.6200,8.9008,2.7946,1.1500,Machine Learning Engineer | 4.7 yrs exp | 2 AI role(s) in career | assess=10.6 | resp_rate=0.84 | mult=1.150
CAND_0006567,74,0.802668,80.2668,35.0000,24.0741,11.0563,8.4042,1.7323,1.1500,Senior AI Engineer | 7.9 yrs exp | 3 AI role(s) in career | assess=11.1 | resp_rate=0.79 | mult=1.150
CAND_0011162,75,0.801898,80.1898,35.0000,24.0741,0.0000,9.2157,11.9000,1.1500,Recommendation Systems Engineer | 5.8 yrs exp | 3 AI role(s) in career | assess=0.0 | resp_rate=0.75 | mult=1.150
CAND_0013393,76,0.801248,83.6589,35.0000,21.8935,11.8800,7.8970,6.9883,1.1014,ML Engineer | 5.3 yrs exp | 4 AI role(s) in career | assess=11.9 | resp_rate=0.33 | mult=1.101
CAND_0036484,77,0.799502,79.9502,35.0000,23.1481,6.6450,8.0031,7.1540,1.1500,AI Research Engineer | 5.7 yrs exp | 2 AI role(s) in career | assess=6.6 | resp_rate=0.80 | mult=1.150
CAND_0059017,78,0.799246,79.9246,35.0000,20.9623,10.3650,7.1382,6.4590,1.1500,AI Research Engineer | 6.8 yrs exp | 2 AI role(s) in career | assess=10.4 | resp_rate=0.75 | mult=1.150
CAND_0088049,79,0.799029,79.9029,35.0000,24.0741,9.9600,7.8355,3.0333,1.1500,Junior ML Engineer | 5.9 yrs exp | 3 AI role(s) in career | assess=10.0 | resp_rate=0.78 | mult=1.150
CAND_0022274,80,0.798771,81.5637,35.0000,23.1481,10.5664,6.5437,6.3054,1.1262,AI Research Engineer | 4.5 yrs exp | 2 AI role(s) in career | assess=10.6 | resp_rate=0.44 | mult=1.126
CAND_0060715,81,0.798602,79.8602,35.0000,22.2222,12.5100,7.7864,2.3415,1.1500,ML Engineer | 3.3 yrs exp | 1 AI role(s) in career | assess=12.5 | resp_rate=0.86 | mult=1.150
CAND_0004402,82,0.798369,79.8369,35.0000,20.7189,7.7400,7.9559,8.4220,1.1500,AI Research Engineer | 6.0 yrs exp | 2 AI role(s) in career | assess=7.7 | resp_rate=0.83 | mult=1.150
CAND_0041610,83,0.797895,79.9017,35.0000,25.0000,0.0000,8.4663,11.4353,1.1484,Recommendation Systems Engineer | 6.7 yrs exp | 4 AI role(s) in career | assess=0.0 | resp_rate=0.52 | mult=1.148
