candidate_id,rank,final_score,semantic_score,title_score,career_score,assessment_score,skill_trust_score,retrieval_score,behavioral_multiplier,reasoning,embedding_score,hybrid_score,hybrid_rank
CAND_0081686,1,0.924575,92.4575,35.0,24.0741,12.885,9.1543,11.3442,1.15,Search Engineer | 6.0 yrs exp | 3 AI role(s) in career | assess=12.9 | resp_rate=0.91 | mult=1.150,56.47011995315552,87.05939299297333,1
CAND_0000031,2,0.912072,91.2072,35.0,25.0,9.7961,8.6687,12.7424,1.15,Recommendation Systems Engineer | 6.0 yrs exp | 4 AI role(s) in career | assess=9.8 | resp_rate=0.91 | mult=1.150,62.699759006500244,86.93108385097503,2
CAND_0041669,3,0.911679,91.1679,35.0,24.0741,12.555,8.3534,11.1854,1.15,Recommendation Systems Engineer | 8.0 yrs exp | 3 AI role(s) in career | assess=12.6 | resp_rate=0.77 | mult=1.150,59.97612476348877,86.48913371452332,3
CAND_0061265,9,0.879613,87.9613,35.0,20.8099,11.7788,9.2325,11.1401,1.15,Recommendation Systems Engineer | 6.6 yrs exp | 3 AI role(s) in career | assess=11.8 | resp_rate=0.94 | mult=1.150,65.84445238113403,84.6437728571701,4
CAND_0018549,8,0.884637,88.4637,35.0,23.1481,9.4288,9.1979,11.689,1.15,Recommendation Systems Engineer | 6.8 yrs exp | 2 AI role(s) in career | assess=9.4 | resp_rate=0.73 | mult=1.150,62.13855743408203,84.51492861511231,5
CAND_0084819,4,0.897213,89.7213,35.0,21.1216,13.41,9.218,10.9717,1.15,Search Engineer | 4.5 yrs exp | 2 AI role(s) in career | assess=13.4 | resp_rate=0.74 | mult=1.150,53.608500957489014,84.30438014362335,6
CAND_0039754,6,0.887453,88.7453,35.0,24.0741,11.6333,9.2564,8.7815,1.15,Senior Applied Scientist | 16.2 yrs exp | 3 AI role(s) in career | assess=11.6 | resp_rate=0.81 | mult=1.150,55.827897787094116,83.80768966806411,7
CAND_0018499,5,0.891493,89.1493,35.0,24.0741,12.21,9.2152,8.65,1.15,Senior Machine Learning Engineer | 7.2 yrs exp | 3 AI role(s) in career | assess=12.2 | resp_rate=0.61 | mult=1.150,53.0611515045166,83.73607772567749,8
CAND_0088025,7,0.886324,88.6324,35.0,24.0741,14.04,8.4272,7.0911,1.15,Staff Machine Learning Engineer | 8.6 yrs exp | 3 AI role(s) in career | assess=14.0 | resp_rate=0.83 | mult=1.150,52.50728726387024,83.21363308958054,9
CAND_0042506,10,0.877413,87.7413,35.0,23.1481,10.335,9.307,9.9511,1.15,Search Engineer | 4.2 yrs exp | 2 AI role(s) in career | assess=10.3 | resp_rate=0.48 | mult=1.150,55.30202388763428,82.87540858314514,10
CAND_0026532,16,0.866677,91.4566,35.0,23.1481,13.575,8.0732,11.6603,1.0898,Recommendation Systems Engineer | 4.8 yrs exp | 2 AI role(s) in career | assess=13.6 | resp_rate=0.52 | mult=1.090,61.110031604766846,82.83404974071503,11
CAND_0071974,11,0.875708,87.5708,35.0,24.0741,11.5154,8.7313,8.25,1.15,Senior AI Engineer | 7.8 yrs exp | 3 AI role(s) in career | assess=11.5 | resp_rate=0.76 | mult=1.150,55.86458444595337,82.81486766689301,12
CAND_0049538,14,0.871067,87.1067,35.0,24.0741,11.9074,8.955,7.1703,1.15,Applied ML Engineer | 5.8 yrs exp | 3 AI role(s) in career | assess=11.9 | resp_rate=0.72 | mult=1.150,58.076512813568115,82.75217192203522,13
CAND_0079387,13,0.873581,87.3581,35.0,25.0,12.66,9.0919,5.6062,1.15,AI Engineer | 6.9 yrs exp | 4 AI role(s) in career | assess=12.7 | resp_rate=0.81 | mult=1.150,56.08643889427185,82.66735083414078,14
CAND_0046525,12,0.875151,87.5151,35.0,23.1481,14.475,8.5212,6.3708,1.15,Senior Machine Learning Engineer | 6.1 yrs exp | 2 AI role(s) in career | assess=14.5 | resp_rate=0.88 | mult=1.150,52.526336908340454,82.26678553625106,15
CAND_0086151,27,0.850396,92.0971,35.0,24.0741,10.8942,8.6788,13.45,1.0619,Recommendation Systems Engineer | 7.7 yrs exp | 3 AI role(s) in career | assess=10.9 | resp_rate=0.52 | mult=1.062,64.49769735336304,81.95831460300447,16
CAND_0013536,21,0.859033,85.9033,35.0,23.1481,10.32,9.3498,8.0853,1.15,Applied ML Engineer | 14.1 yrs exp | 2 AI role(s) in career | assess=10.3 | resp_rate=0.87 | mult=1.150,59.227144718170166,81.90187670772552,17
CAND_0036184,24,0.855584,85.5584,35.0,23.1481,8.274,8.7301,10.4062,1.15,Recommendation Systems Engineer | 6.0 yrs exp | 2 AI role(s) in career | assess=8.3 | resp_rate=0.90 | mult=1.150,59.96564030647278,81.71948604597091,18
CAND_0066999,15,0.866691,86.6691,35.0,21.3165,11.9312,7.2714,11.15,1.15,Recommendation Systems Engineer | 5.9 yrs exp | 2 AI role(s) in career | assess=11.9 | resp_rate=0.63 | mult=1.150,53.353530168533325,81.67176452528,19
CAND_0055992,25,0.855248,85.5248,35.0,23.9707,9.1863,9.2742,8.0936,1.15,AI Engineer | 16.9 yrs exp | 4 AI role(s) in career | assess=9.2 | resp_rate=0.72 | mult=1.150,59.81324315071106,81.66806647260665,20
CAND_0037000,26,0.852294,86.3848,35.0,24.0741,7.665,8.5231,11.1226,1.1346,Search Engineer | 2.7 yrs exp | 3 AI role(s) in career | assess=7.7 | resp_rate=0.61 | mult=1.135,57.33242630958557,81.04485394643784,21
CAND_0050876,18,0.865299,86.5299,35.0,24.0741,10.7095,8.9809,7.7655,1.15,Applied ML Engineer | 6.0 yrs exp | 3 AI role(s) in career | assess=10.7 | resp_rate=0.67 | mult=1.150,49.76413249969482,81.01503487495422,22
CAND_0020708,20,0.859577,85.9577,35.0,22.2222,9.66,9.1271,9.9484,1.15,Search Engineer | 4.2 yrs exp | 1 AI role(s) in career | assess=9.7 | resp_rate=0.84 | mult=1.150,51.71247124671936,80.8209156870079,23
CAND_0086022,22,0.857673,85.7673,35.0,23.1481,11.8853,9.2502,6.4837,1.15,Senior Applied Scientist | 5.3 yrs exp | 2 AI role(s) in career | assess=11.9 | resp_rate=0.55 | mult=1.150,52.13474631309509,80.72241694696426,24
CAND_0080766,17,0.865553,87.2674,35.0,25.0,12.675,8.8332,5.7592,1.1406,Staff Machine Learning Engineer | 8.8 yrs exp | 4 AI role(s) in career | assess=12.7 | resp_rate=0.66 | mult=1.141,47.05256819725036,80.62989022958755,25
CAND_0053591,19,0.860154,86.0154,35.0,23.1481,13.515,8.4023,5.95,1.15,AI Engineer | 5.3 yrs exp | 2 AI role(s) in career | assess=13.5 | resp_rate=0.81 | mult=1.150,49.69396591186523,80.56718488677977,26
CAND_0009024,29,0.845302,89.1187,35.0,23.1481,12.5448,8.8555,9.5703,1.0908,Search Engineer | 5.2 yrs exp | 2 AI role(s) in career | assess=12.5 | resp_rate=0.46 | mult=1.091,57.75867700576782,80.51447155086517,27
CAND_0075249,31,0.841866,84.1866,35.0,23.1481,8.4027,9.1922,8.4435,1.15,Applied ML Engineer | 6.2 yrs exp | 2 AI role(s) in career | assess=8.4 | resp_rate=0.82 | mult=1.150,55.85232973098755,79.93645945964813,28
CAND_0027801,23,0.856999,87.8519,35.0,24.0741,12.225,9.2407,7.3121,1.1218,NLP Engineer | 7.4 yrs exp | 3 AI role(s) in career | assess=12.2 | resp_rate=0.65 | mult=1.122,45.772606134414666,79.7108059201622,29
CAND_0041568,32,0.841483,89.0384,35.0,22.7645,11.0603,9.2958,10.9178,1.0868,Search Engineer | 5.2 yrs exp | 3 AI role(s) in career | assess=11.1 | resp_rate=0.52 | mult=1.087,54.055094718933105,79.63431920783997,30
CAND_0076251,48,0.82847,84.7936,35.0,22.2353,10.9513,7.8014,8.8057,1.1236,Search Engineer | 7.6 yrs exp | 3 AI role(s) in career | assess=11.0 | resp_rate=0.51 | mult=1.124,59.1180145740509,79.28765218610764,31
CAND_0012957,50,0.82501,87.5347,35.0,23.1481,10.9331,8.5559,9.8975,1.0839,Search Engineer | 4.9 yrs exp | 2 AI role(s) in career | assess=10.9 | resp_rate=0.67 | mult=1.084,60.17918586730957,79.15272788009644,32
CAND_0081846,30,0.842919,84.2919,35.0,23.1481,9.435,8.6088,8.1,1.15,Lead AI Engineer | 6.7 yrs exp | 2 AI role(s) in career | assess=9.4 | resp_rate=0.73 | mult=1.150,49.80687499046325,79.11914624856949,33
CAND_0020350,47,0.829294,82.9294,35.0,23.1481,13.11,9.2439,2.4273,1.15,AI Engineer | 5.8 yrs exp | 2 AI role(s) in career | assess=13.1 | resp_rate=0.58 | mult=1.150,57.41708278656006,79.102552417984,34
CAND_0016163,28,0.847321,84.7321,35.0,24.0741,13.245,8.665,3.748,1.15,Applied ML Engineer | 6.7 yrs exp | 3 AI role(s) in career | assess=13.2 | resp_rate=0.72 | mult=1.150,47.101029753685,79.08743946305275,35
CAND_0093331,37,0.837351,84.7715,35.0,24.0741,10.56,9.0969,6.0406,1.1359,NLP Engineer | 16.1 yrs exp | 3 AI role(s) in career | assess=10.6 | resp_rate=0.41 | mult=1.136,52.29462385177612,79.0190285777664,36
CAND_0043381,35,0.838093,83.8093,35.0,22.2222,11.22,7.1598,8.2073,1.15,AI Research Engineer | 3.6 yrs exp | 1 AI role(s) in career | assess=11.2 | resp_rate=0.78 | mult=1.150,49.72895383834839,78.69724807575226,37
CAND_0005260,41,0.833614,83.3614,35.0,23.1481,12.135,8.5634,4.5149,1.15,Senior NLP Engineer | 5.2 yrs exp | 2 AI role(s) in career | assess=12.1 | resp_rate=0.86 | mult=1.150,51.249611377716064,78.5446317066574,38
CAND_0088378,34,0.840772,84.0772,35.0,21.807,12.57,7.4642,7.2359,1.15,AI Research Engineer | 6.0 yrs exp | 4 AI role(s) in career | assess=12.6 | resp_rate=0.58 | mult=1.150,47.05609977245331,78.524034965868,39
CAND_0057563,38,0.837256,83.7256,35.0,22.5414,12.09,9.0504,5.0438,1.15,NLP Engineer | 6.8 yrs exp | 3 AI role(s) in career | assess=12.1 | resp_rate=0.83 | mult=1.150,48.97555708885193,78.51309356332779,40
CAND_0043228,43,0.832557,87.5824,35.0,24.0741,12.45,8.6397,7.4186,1.0932,Applied ML Engineer | 6.8 yrs exp | 3 AI role(s) in career | assess=12.4 | resp_rate=0.41 | mult=1.093,51.58398151397705,78.50494222709655,41
CAND_0096142,33,0.840914,84.0914,35.0,23.1481,12.5775,8.845,4.5207,1.15,Applied ML Engineer | 5.0 yrs exp | 2 AI role(s) in career | assess=12.6 | resp_rate=0.84 | mult=1.150,45.29112577438354,78.27135886615754,42
CAND_0064904,59,0.817792,81.7792,35.0,23.1481,10.47,8.4571,4.7039,1.15,AI Engineer | 4.9 yrs exp | 2 AI role(s) in career | assess=10.5 | resp_rate=0.78 | mult=1.150,57.9459011554718,78.20420517332076,43
CAND_0027691,45,0.831806,83.1806,35.0,24.0741,9.9216,9.1772,5.0078,1.15,NLP Engineer | 6.5 yrs exp | 3 AI role(s) in career | assess=9.9 | resp_rate=0.68 | mult=1.150,48.3011245727539,77.9486786859131,44
CAND_0075574,39,0.834948,84.1237,35.0,24.0741,9.4081,9.2702,6.3713,1.1414,Machine Learning Engineer | 5.7 yrs exp | 3 AI role(s) in career | assess=9.4 | resp_rate=0.58 | mult=1.141,46.02934420108795,77.8749816301632,45
CAND_0057701,60,0.81682,86.1456,35.0,22.2222,11.016,8.6462,9.2612,1.0904,Recommendation Systems Engineer | 4.1 yrs exp | 1 AI role(s) in career | assess=11.0 | resp_rate=0.56 | mult=1.090,55.800861120224,77.7998291680336,46
CAND_0030031,53,0.823262,82.3262,35.0,22.3555,9.525,9.0845,6.3612,1.15,AI Engineer | 5.7 yrs exp | 3 AI role(s) in career | assess=9.5 | resp_rate=0.94 | mult=1.150,51.79638862609863,77.7467282939148,47
CAND_0037566,51,0.82501,82.501,35.0,23.1481,12.36,9.1629,2.83,1.15,Machine Learning Engineer | 6.9 yrs exp | 2 AI role(s) in career | assess=12.4 | resp_rate=0.50 | mult=1.150,50.80264210700989,77.74624631605148,48
CAND_0039383,52,0.824418,82.4418,35.0,24.0741,9.5775,8.7974,4.9928,1.15,Applied ML Engineer | 7.1 yrs exp | 3 AI role(s) in career | assess=9.6 | resp_rate=0.61 | mult=1.150,50.97001791000366,77.72103268650055,49
CAND_0054318,40,0.833637,83.3637,35.0,22.2222,11.415,8.2795,6.4471,1.15,AI Research Engineer | 3.5 yrs exp | 1 AI role(s) in career | assess=11.4 | resp_rate=0.87 | mult=1.150,45.6441581249237,77.70576871873854,50
CAND_0087364,66,0.812422,87.8027,35.0,23.1481,10.0912,8.966,10.5974,1.0641,Recommendation Systems Engineer | 4.9 yrs exp | 2 AI role(s) in career | assess=10.1 | resp_rate=0.48 | mult=1.064,56.85879588127136,77.5846893821907,51
CAND_0095619,42,0.832776,83.2776,35.0,22.2222,11.0128,8.8925,6.15,1.15,NLP Engineer | 15.6 yrs exp | 1 AI role(s) in career | assess=11.0 | resp_rate=0.90 | mult=1.150,45.09661793708801,77.55045269056319,52
CAND_0010541,46,0.830041,83.5561,35.0,23.1481,9.09,7.0166,9.3013,1.1424,AI Research Engineer | 6.2 yrs exp | 2 AI role(s) in career | assess=9.1 | resp_rate=0.59 | mult=1.142,46.2594598531723,77.49240397797585,53
CAND_0079284,63,0.815076,81.5076,35.0,23.1481,10.335,9.2799,3.7445,1.15,Machine Learning Engineer | 4.9 yrs exp | 2 AI role(s) in career | assess=10.3 | resp_rate=0.79 | mult=1.150,54.625022411346436,77.47521336170196,54
CAND_0043312,36,0.837472,83.7472,35.0,22.2222,13.125,7.581,5.819,1.15,AI Research Engineer | 4.2 yrs exp | 1 AI role(s) in career | assess=13.1 | resp_rate=0.73 | mult=1.150,41.77453517913818,77.45130027687073,55
CAND_0070333,49,0.826541,85.3374,35.0,20.9995,11.715,8.1655,9.4573,1.1138,AI Research Engineer | 4.7 yrs exp | 2 AI role(s) in career | assess=11.7 | resp_rate=0.48 | mult=1.114,46.18580639362335,77.1838559590435,56
CAND_0007412,44,0.832281,84.0606,35.0,25.0,7.515,8.8413,7.7044,1.1386,Applied ML Engineer | 7.4 yrs exp | 5 AI role(s) in career | assess=7.5 | resp_rate=0.76 | mult=1.139,42.85441040992737,77.17204656148911,57
CAND_0041610,83,0.797895,79.9017,35.0,25.0,0.0,8.4663,11.4353,1.1484,Recommendation Systems Engineer | 6.7 yrs exp | 4 AI role(s) in career | assess=0.0 | resp_rate=0.52 | mult=1.148,62.27681636810303,77.16259745521545,58
CAND_0011162,75,0.801898,80.1898,35.0,24.0741,0.0,9.2157,11.9,1.15,Recommendation Systems Engineer | 5.8 yrs exp | 3 AI role(s) in career | assess=0.0 | resp_rate=0.75 | mult=1.150,59.98971462249756,77.15978719337463,59
CAND_0006557,64,0.813757,87.2707,35.0,23.1481,11.37,9.1525,8.6,1.0723,NLP Engineer | 7.9 yrs exp | 2 AI role(s) in career | assess=11.4 | resp_rate=0.63 | mult=1.072,52.00676918029785,76.97036037704467,60
CAND_0009691,57,0.820242,83.7704,35.0,24.0741,9.5173,9.3108,5.8683,1.126,Applied ML Engineer | 6.2 yrs exp | 3 AI role(s) in career | assess=9.5 | resp_rate=0.64 | mult=1.126,48.17938506603241,76.94747775990487,61
CAND_0071115,69,0.806827,86.2917,35.0,23.1481,12.81,7.697,7.6366,1.0752,Recommendation Systems Engineer | 16.5 yrs exp | 2 AI role(s) in career | assess=12.8 | resp_rate=0.50 | mult=1.075,53.17988395690918,76.55727759353637,62
CAND_0076163,56,0.821689,82.1689,35.0,23.1481,10.0375,7.9472,6.0361,1.15,NLP Engineer | 6.9 yrs exp | 2 AI role(s) in career | assess=10.0 | resp_rate=0.84 | mult=1.150,44.73060667514801,76.5531560012722,63
CAND_0006567,74,0.802668,80.2668,35.0,24.0741,11.0563,8.4042,1.7323,1.15,Senior AI Engineer | 7.9 yrs exp | 3 AI role(s) in career | assess=11.1 | resp_rate=0.79 | mult=1.150,53.885066509246826,76.30953997638701,64
CAND_0024466,91,0.793161,88.1988,35.0,23.1481,11.25,8.9233,9.8774,1.0342,Search Engineer | 5.2 yrs exp | 2 AI role(s) in career | assess=11.2 | resp_rate=0.47 | mult=1.034,58.961182832717896,76.26286242490768,65
