candidate_id,title,retrieval_score
CAND_0018499,Senior Machine Learning Engineer,33
CAND_0007009,Recommendation Systems Engineer,31
CAND_0039754,Senior Applied Scientist,29
CAND_0077337,Staff Machine Learning Engineer,28
CAND_0081846,Lead AI Engineer,28
CAND_0026532,Recommendation Systems Engineer,27
CAND_0044855,Senior Data Scientist,27
CAND_0086151,Recommendation Systems Engineer,27
CAND_0029367,Senior Data Scientist,26
CAND_0036184,Recommendation Systems Engineer,26
CAND_0069905,Applied ML Engineer,26
CAND_0071974,Senior AI Engineer,26
CAND_0092278,Senior NLP Engineer,26
CAND_0005649,Senior Data Scientist,25
CAND_0010770,Recommendation Systems Engineer,25
CAND_0046064,Senior NLP Engineer,25
CAND_0055992,AI Engineer,25
CAND_0007412,Applied ML Engineer,24
CAND_0008425,Senior NLP Engineer,24
CAND_0041611,Staff Machine Learning Engineer,24
CAND_0041669,Recommendation Systems Engineer,24
CAND_0055905,Senior Machine Learning Engineer,24
CAND_0070398,Machine Learning Engineer,24
CAND_0079387,AI Engineer,24
CAND_0001610,Machine Learning Engineer,23
CAND_0009691,Applied ML Engineer,23
CAND_0027801,NLP Engineer,23
CAND_0030953,Search Engineer,23
CAND_0033861,Senior NLP Engineer,23
CAND_0053695,Recommendation Systems Engineer,23
CAND_0088025,Staff Machine Learning Engineer,23
CAND_0003977,Recommendation Systems Engineer,22
CAND_0041568,Search Engineer,22
CAND_0060054,AI Engineer,22
CAND_0066376,Applied ML Engineer,22
CAND_0089552,Machine Learning Engineer,22
CAND_0020877,Applied ML Engineer,21
CAND_0042506,Search Engineer,21
CAND_0044883,AI Engineer,21
CAND_0060072,Staff Machine Learning Engineer,21
CAND_0074735,Applied ML Engineer,21
CAND_0081686,Search Engineer,21
CAND_0083307,Search Engineer,21
CAND_0086022,Senior Applied Scientist,21
CAND_0087630,AI Engineer,21
CAND_0005260,Senior NLP Engineer,20
CAND_0006557,NLP Engineer,20
CAND_0011162,Recommendation Systems Engineer,20
CAND_0030827,Senior Data Scientist,20
CAND_0040117,Recommendation Systems Engineer,20
CAND_0041610,Recommendation Systems Engineer,20
CAND_0046525,Senior Machine Learning Engineer,20
CAND_0057563,NLP Engineer,20
CAND_0061265,Recommendation Systems Engineer,20
CAND_0068811,Applied ML Engineer,20
CAND_0075439,Machine Learning Engineer,20
CAND_0077285,Recommendation Systems Engineer,20
CAND_0079064,Senior Data Scientist,20
CAND_0093331,NLP Engineer,20
CAND_0094759,Lead AI Engineer,20
CAND_0010685,NLP Engineer,19
CAND_0017960,Recommendation Systems Engineer,19
CAND_0039383,Applied ML Engineer,19
CAND_0050454,AI Engineer,19
CAND_0050876,Applied ML Engineer,19
CAND_0051292,Applied ML Engineer,19
CAND_0062247,AI Engineer,19
CAND_0075249,Applied ML Engineer,19
CAND_0075574,Machine Learning Engineer,19
CAND_0076904,Senior Data Scientist,19
